ITEM,JOY,DESPAIR,NET FEELIES,NET CLOUT,DESPAIR (NEG)
York_Peppermint_Patties,634,78,556,1.639117823,-78
Whole_Wheat_anything,21,419,-398,1.012937981,-419
White_Bread,15,473,-458,1.123440306,-473
Vicodin,323,210,113,1.227036236,-210
Twix,770,26,744,1.832496892,-26
Trail_Mix,81,247,-166,0.755099222,-247
Tolberone_something_or_other,627,44,583,1.54473042,-44
Three_Musketeers,534,40,494,1.321423638,-40
Those_odd_marshmallow_circus_peanut_things,135,545,-410,1.565449606,-545
Sweetums,21,92,-71,0.26014089,-92
Swedish_Fish,470,166,304,1.464155808,-166
Starburst,500,69,431,1.309912979,-69
Spotted_Dick,29,253,-224,0.64920116,-253
Snickers,739,27,712,1.763432939,-27
Smarties_(Commonwealth),206,91,115,0.683733137,-91
Smarties_(American),406,187,219,1.365164142,-187
Skittles,511,92,419,1.38818546,-92
Senior_Mints,46,157,-111,0.46733275,-157
Runts,230,148,82,0.870205811,-148
Rolos,635,50,585,1.576960265,-50
Ribbon_candy,74,280,-206,0.814954648,-280
Regular_M&Ms,629,41,588,1.542428289,-41
Reggie_Jackson_Bar,59,74,-15,0.306183526,-74
Reese’s_Peanut_Butter_Cups,983,47,936,2.371195727,-47
Pixy_Stix,279,164,115,1.019844376,-164
Pencils,39,367,-328,0.9346655,-367
Peanut_M&M’s,773,75,698,1.952207744,-75
Other,166,39,127,0.471937014,-39
Now'n'Laters,168,200,-32,0.847184493,-200
Nestle_Crunch,565,39,526,1.390487592,-39
Nerds,514,115,399,1.448040886,-115
Mint_M&Ms,335,116,219,1.03826143,-116
Mint_Leaves,58,172,-114,0.529490308,-172
Mint_Kisses,171,102,69,0.628481974,-102
Mint_Juleps,154,98,56,0.580137207,-98
Minibags_of_chips,186,134,52,0.736682168,-134
Milky_Way,648,33,615,1.567751738,-33
Milk_Duds,541,100,441,1.475666467,-100
Maynards,37,68,-31,0.241723836,-68
Mary_Janes,163,163,0,0.750494958,-163
Lollipops,166,133,33,0.6883374,-133
Lindt_Truffle,551,32,519,1.342142824,-32
Licorice_(not_black),256,211,45,1.075095538,-211
Licorice,287,438,-151,1.669045536,-438
LemonHeads,352,122,230,1.091210461,-122
Lapel_Pins,30,285,-255,0.725171509,-285
LaffyTaffy,293,211,82,1.160274414,-211
Kit_Kat,894,15,879,2.092637783,-15
Kinder_Happy_Hippo,145,107,38,0.580137207,-107
Kale_smoothie,51,497,-446,1.261568212,-497
Junior_Mints,550,60,490,1.404300382,-60
Jolly_Ranchers_(good_flavor),466,166,300,1.454947281,-166
Jolly_Rancher_(bad_flavor),55,421,-366,1.095814724,-421
Hugs_(actual_physical_hugs),160,268,-108,0.985312399,-268
Hershey’s_Milk_Chocolate,510,85,425,1.369768406,-85
Hershey’s_Kissables,314,65,249,0.872507942,-65
Heath_Bar,568,61,507,1.448040886,-61
Healthy_Fruit,74,325,-251,0.918550578,-325
Hard_Candy,130,299,-169,0.987614531,-299
Gummy_Bears_straight_up,400,147,253,1.25926608,-147
Gum_from_baseball_cards,21,471,-450,1.132648833,-471
Good_N'_Plenty,204,292,-88,1.14185736,-292
Goo_Goo_Clusters,171,116,55,0.660711819,-116
Glow_sticks,219,128,91,0.798839726,-128
Generic_Brand_Acetaminophen,38,415,-377,1.042865694,-415
Fuzzy_Peaches,188,207,-19,0.909342051,-207
Dots,272,225,47,1.144159492,-225
Dental_paraphenalia,43,586,-543,1.448040886,-586
Dark_Chocolate_Hershey,586,82,504,1.537824025,-82
Creepy_Religious_comics/Chick_Tracts,126,607,-481,1.68746259,-607
Chiclets,132,285,-153,0.95998895,-285
"Cash,_or_other_forms_of_legal_tender",642,43,599,1.576960265,-43
Caramellos,493,33,460,1.210921313,-33
Candy_that_is_clearly_just_the_stuff_given_out_for_free_at_restaurants,29,621,-592,1.496385653,-621
Candy_Corn,457,327,130,1.804871311,-327
Cadbury_Creme_Eggs,579,144,435,1.664441273,-144
Bubble_Gum,115,277,-162,0.902435655,-277
Broken_glow_stick,14,579,-565,1.365164142,-579
Brach_products_(not_including_candy_corn),115,281,-166,0.911644183,-281
Box’o’_Raisins,47,585,-538,1.454947281,-585
Bottle_Caps,300,219,81,1.194806391,-219
Bonkers,31,99,-68,0.299277131,-99
Black_Jacks,34,252,-218,0.658409687,-252
Any_full-sized_candy_bar,828,13,815,1.936092822,-13
Anonymous_brown_globs_that_come_in_black_and_orange_wrappers,120,663,-543,1.802569179,-663
100_Grand_Bar,570,34,536,1.390487592,-34
,26204,17563,,,
